No.;Time ;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jiter
11531;91,912724;;91,912724;91,912724;0;;-0,013453;-0,024348;-0,010895
11532;91,912724;;91,912724;91,926177;0,013453;;-0,024348;-0,000748;0,0236
11533;91,926177;;91,926177;91,963978;0,037801;;-0,000748;0,025308;0,026056
11534;91,963978;;91,963978;92,002527;0,038549;;0,025308;0,006344;-0,018964
11535;92,002527;;92,002527;92,015768;0,013241;;0,006344;0,005682;-0,000662
11536;92,015768;;92,015768;92,022665;0,006897;;0,005682;-0,000259;-0,005941
11537;92,022665;;92,022665;92,02388;0,001215;;-0,000259;-0,000386;-0,000127
11538;92,02388;;92,02388;92,025354;0,001474;;-0,000386;0,00186;0,002246
11539;92,025354;;92,025354;92,027214;0,00186;;0,00186;-0,003027;-0,004887
11540;92,027214;;92,027214;92,027214;0;;-0,003027;0,003027;0,006054
11541;92,027214;;92,027214;92,030241;0,003027;;0,003027;0;-0,003027
11542;92,030241;;92,030241;92,030241;0;;0;0;0
11543;92,030241;;92,030241;92,030241;0;;0;0;0
11544;92,030241;;92,030241;92,030241;0;;0;0;0
11545;92,030241;;92,030241;92,030241;0;;0;0;0
11546;92,030241;;92,030241;92,030241;0;;0;-0,000441;-0,000441
11547;92,030241;;92,030241;92,030241;0;;-0,000441;-0,013215;-0,012774
11548;92,030241;;92,030241;92,030682;0,000441;;-0,013215;0,010201;0,023416
11549;92,030682;;92,030682;92,044338;0,013656;;0,010201;0,002276;-0,007925
11550;92,044338;;92,044338;92,047793;0,003455;;0,002276;-0,008246;-0,010522
11551;92,047793;;92,047793;92,048972;0,001179;;-0,008246;0,009425;0,017671
11552;92,048972;;92,048972;92,058397;0,009425;;0,009425;0;-0,009425
11553;92,058397;;92,058397;92,058397;0;;0;0;0
11554;92,058397;;92,058397;92,058397;0;;0;0;0
11555;92,058397;;92,058397;92,058397;0;;0;0;0
11556;92,058397;;92,058397;92,058397;0;;0;0;0
11557;92,058397;;92,058397;92,058397;0;;0;0;0
11558;92,058397;;92,058397;92,058397;0;;0;0;0
11559;92,058397;;92,058397;92,058397;0;;0;-0,000343;-0,000343
11560;92,058397;;92,058397;92,058397;0;;-0,000343;-4,6E-05;0,000297
11561;92,058397;;92,058397;92,05874;0,000343;;-4,6E-05;-0,002888;-0,002842
11562;92,05874;;92,05874;92,059129;0,000389;;-0,002888;0,003146;0,006034
11563;92,059129;;92,059129;92,062406;0,003277;;0,003146;9,6E-05;-0,00305
11564;92,062406;;92,062406;92,062537;0,000131;;9,6E-05;-2,4E-05;-0,00012
11565;92,062537;;92,062537;92,062572;3,5E-05;;-2,4E-05;5,9E-05;8,3E-05
11566;92,062572;;92,062572;92,062631;5,9E-05;;5,9E-05;0;-5,9E-05
11567;92,062631;;92,062631;92,062631;0;;0;0;0
11568;92,062631;;92,062631;92,062631;0;;0;0;0
11569;92,062631;;92,062631;92,062631;0;;0;-0,010052;-0,010052
11570;92,062631;;92,062631;92,062631;0;;-0,010052;-0,026794;-0,016742
11571;92,062631;;92,062631;92,072683;0,010052;;-0,026794;-0,009063;0,017731
11572;92,072683;;92,072683;92,109529;0,036846;;-0,009063;0,044992;0,054055
11573;92,109529;;92,109529;92,155438;0,045909;;0,044992;-0,000651;-0,045643
11574;92,155438;;92,155438;92,156355;0,000917;;-0,000651;0,001568;0,002219
11575;92,156355;;92,156355;92,157923;0,001568;;0,001568;0;-0,001568
11576;92,157923;;92,157923;92,157923;0;;0;0;0
11577;92,157923;;92,157923;92,157923;0;;0;0;0
11578;92,157923;;92,157923;92,157923;0;;0;0;0
11579;92,157923;;92,157923;92,157923;0;;0;0;0
11580;92,157923;;92,157923;92,157923;0;;0;-0,000521;-0,000521
11581;92,157923;;92,157923;92,157923;0;;-0,000521;0,000299;0,00082
11582;92,157923;;92,157923;92,158444;0,000521;;0,000299;-0,000249;-0,000548
11583;92,158444;;92,158444;92,158666;0,000222;;-0,000249;-7,5E-05;0,000174
11584;92,158666;;92,158666;92,159137;0,000471;;-7,5E-05;0,000546;0,000621
11585;92,159137;;92,159137;92,159683;0,000546;;0,000546;-0,013588;-0,014134
11586;92,159683;;92,159683;92,159683;0;;-0,013588;-0,012533;0,001055
11587;92,159683;;92,159683;92,173271;0,013588;;-0,012533;0,025434;0,037967
11588;92,173271;;92,173271;92,199392;0,026121;;0,025434;0,000687;-0,024747
11589;92,199392;;92,199392;92,200079;0,000687;;0,000687;-0,008526;-0,009213
11590;92,200079;;92,200079;92,200079;0;;-0,008526;0,00666;0,015186
11591;92,200079;;92,200079;92,208605;0,008526;;0,00666;0,001866;-0,004794
11592;92,208605;;92,208605;92,210471;0,001866;;0,001866;0;-0,001866
11593;92,210471;;92,210471;92,210471;0;;0;0;0
11594;92,210471;;92,210471;92,210471;0;;0;0;0
11595;92,210471;;92,210471;92,210471;0;;0;0;0
11596;92,210471;;92,210471;92,210471;0;;0;0;0
11597;92,210471;;92,210471;92,210471;0;;0;0;0
11598;92,210471;;92,210471;92,210471;0;;0;0;0
11599;92,210471;;92,210471;92,210471;0;;0;-0,000597;-0,000597
11600;92,210471;;92,210471;92,210471;0;;-0,000597;-0,01377;-0,013173
11601;92,210471;;92,210471;92,211068;0,000597;;-0,01377;-0,008219;0,005551
11602;92,211068;;92,211068;92,225435;0,014367;;-0,008219;0,022586;0,030805
11603;92,225435;;92,225435;92,248021;0,022586;;0,022586;-0,000436;-0,023022
11604;92,248021;;92,248021;92,248021;0;;-0,000436;-0,000123;0,000313
11605;92,248021;;92,248021;92,248457;0,000436;;-0,000123;0,000559;0,000682
11606;92,248457;;92,248457;92,249016;0,000559;;0,000559;0;-0,000559
11607;92,249016;;92,249016;92,249016;0;;0;0;0
11608;92,249016;;92,249016;92,249016;0;;0;-0,000273;-0,000273
11609;92,249016;;92,249016;92,249016;0;;-0,000273;0,000144;0,000417
11610;92,249016;;92,249016;92,249289;0,000273;;0,000144;2,6E-05;-0,000118
11611;92,249289;;92,249289;92,249418;0,000129;;2,6E-05;-0,000677;-0,000703
11612;92,249418;;92,249418;92,249521;0,000103;;-0,000677;0,00078;0,001457
11613;92,249521;;92,249521;92,250301;0,00078;;0,00078;0;-0,00078
11614;92,250301;;92,250301;92,250301;0;;0;-0,001091;-0,001091
11615;92,250301;;92,250301;92,250301;0;;-0,001091;0,001091;0,002182
11616;92,250301;;92,250301;92,251392;0,001091;;0,001091;-0,012532;-0,013623
11617;92,251392;;92,251392;92,251392;0;;-0,012532;-0,021952;-0,00942
